"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"experiment-larger-network"
"06/09/2015 15:16:00:396 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","[breed] of user","[turns] of user","[turn-payoff] of user","[score] of user"
"4","50","false","35","{breed random-profiles}","1","1","1"
"4","50","false","36","{breed attack-profiles}","2","6.5","18.5"
"4","50","false","37","{breed random-profiles}","2","-1","0"
"4","50","false","38","{breed random-profiles}","3","1","1"
"4","50","false","39","{breed random-profiles}","4","-1","0"
"4","50","false","40","{breed attack-profiles}","1","24.5","24.5"
"5","50","false","0","{breed attack-profiles}","1","0","0"
"5","50","false","1","{breed attack-profiles}","2","0","0"
"5","50","false","2","{breed random-profiles}","1","3","3"
"5","50","false","3","{breed attack-profiles}","1","0.5","0.5"
"5","50","false","4","{breed attack-profiles}","1","0.5","0.5"
"5","50","false","5","{breed attack-profiles}","1","0.5","0.5"
"5","50","false","6","{breed attack-profiles}","3","0.5","0.5"
"5","50","false","7","{breed attack-profiles}","1","0.5","0.5"
"5","50","false","8","{breed random-profiles}","1","-5","-5"
"5","50","false","9","{breed attack-profiles}","2","2.5","3"
"5","50","false","10","{breed attack-profiles}","2","2.5","3"
"5","50","false","11","{breed attack-profiles}","2","2.5","3"
"5","50","false","12","{breed random-profiles}","1","1","1"
"5","50","false","13","{breed random-profiles}","1","-1","-1"
"5","50","false","14","{breed attack-profiles}","2","3","3.5"
"5","50","false","15","{breed random-profiles}","1","-1","-1"
"5","50","false","16","{breed attack-profiles}","1","5","5"
"5","50","false","17","{breed random-profiles}","2","-1","-2"
"5","50","false","18","{breed random-profiles}","1","-1","-1"
"5","50","false","19","{breed random-profiles}","2","-3","-4"
"5","50","false","20","{breed random-profiles}","2","1","4"
"5","50","false","21","{breed random-profiles}","3","-3","-7"
"5","50","false","22","{breed random-profiles}","4","3","-4"
"5","50","false","23","{breed attack-profiles}","1","13","13"
"5","50","false","24","{breed attack-profiles}","1","13","13"
"5","50","false","25","{breed random-profiles}","2","3","4"
"5","50","false","26","{breed attack-profiles}","3","10.5","13.5"
"5","50","false","27","{breed random-profiles}","1","-1","-1"
"5","50","false","28","{breed random-profiles}","1","-3","-3"
"5","50","false","29","{breed random-profiles}","2","-1","-4"
"5","50","false","30","{breed random-profiles}","3","-1","-3"
"5","50","false","31","{breed random-profiles}","5","-1","-5"
"5","50","false","32","{breed attack-profiles}","3","18.5","21.5"
"5","50","false","33","{breed attack-profiles}","2","14.5","19.5"
"5","50","false","34","{breed random-profiles}","3","-3","1"
"5","50","false","35","{breed random-profiles}","2","-5","-6"
"5","50","false","36","{breed attack-profiles}","4","25.5","26"
"5","50","false","37","{breed random-profiles}","6","3","-2"
"5","50","false","38","{breed attack-profiles}","4","3","24.5"
"5","50","false","39","{breed attack-profiles}","3","21","24.5"
"5","50","false","40","{breed random-profiles}","3","-3","1"
"6","50","false","0","{breed random-profiles}","1","-3","-3"
"6","50","false","1","{breed attack-profiles}","1","0","0"
"6","50","false","2","{breed attack-profiles}","1","0","0"
"6","50","false","3","{breed attack-profiles}","1","0","0"
"6","50","false","4","{breed attack-profiles}","1","0","0"
"6","50","false","5","{breed attack-profiles}","1","0","0"
"6","50","false","6","{breed random-profiles}","1","-3","-3"
"6","50","false","7","{breed random-profiles}","1","-3","-3"
"6","50","false","8","{breed random-profiles}","2","1","-2"
"6","50","false","9","{breed attack-profiles}","2","3","3"
"6","50","false","10","{breed random-profiles}","1","-1","-1"
"6","50","false","11","{breed attack-profiles}","2","4.5","4.5"
"6","50","false","12","{breed random-profiles}","2","-1","-2"
"6","50","false","13","{breed attack-profiles}","1","6","6"
"6","50","false","14","{breed random-profiles}","2","1","-2"
"6","50","false","15","{breed random-profiles}","1","1","1"
"6","50","false","16","{breed attack-profiles}","3","3","6"
"6","50","false","17","{breed attack-profiles}","2","2","8"
"6","50","false","18","{breed random-profiles}","3","3","1"
"6","50","false","19","{breed attack-profiles}","2","8","8"
"6","50","false","20","{breed random-profiles}","4","-3","-2"
"6","50","false","21","{breed attack-profiles}","3","2","10"
"6","50","false","22","{breed random-profiles}","3","1","-1"
"6","50","false","23","{breed random-profiles}","1","1","1"
"6","50","false","24","{breed attack-profiles}","3","5.5","10"
"6","50","false","25","{breed random-profiles}","1","-1","-1"
"6","50","false","26","{breed random-profiles}","2","-3","-6"
"6","50","false","27","{breed random-profiles}","1","-3","-3"
"6","50","false","28","{breed random-profiles}","2","3","2"
"6","50","false","29","{breed attack-profiles}","1","18","18"
"6","50","false","30","{breed attack-profiles}","1","18","18"
"6","50","false","31","{breed random-profiles}","1","-3","-3"
"6","50","false","32","{breed attack-profiles}","3","10","18"
"6","50","false","33","{breed attack-profiles}","1","20","20"
"6","50","false","34","{breed random-profiles}","2","-1","-4"
"6","50","false","35","{breed random-profiles}","3","1","-3"
"6","50","false","36","{breed random-profiles}","2","1","2"
"6","50","false","37","{breed attack-profiles}","2","23.5","23.5"
"6","50","false","38","{breed attack-profiles}","2","1.5","21.5"
"6","50","false","39","{breed attack-profiles}","3","0","21.5"
"6","50","false","40","{breed random-profiles}","1","1","1"
"7","50","false","0","{breed random-profiles}","1","1","1"
"7","50","false","1","{breed random-profiles}","1","-3","-3"
"7","50","false","2","{breed random-profiles}","2","1","-2"
"7","50","false","3","{breed random-profiles}","1","-1","-1"
"7","50","false","4","{breed random-profiles}","3","1","-1"
"7","50","false","5","{breed random-profiles}","1","1","1"
"7","50","false","6","{breed random-profiles}","1","-1","-1"
"7","50","false","7","{breed attack-profiles}","1","6","6"
"7","50","false","8","{breed attack-profiles}","1","6","6"
"7","50","false","9","{breed random-profiles}","4","-1","-2"
"7","50","false","10","{breed attack-profiles}","1","7.5","7.5"
"7","50","false","11","{breed attack-profiles}","1","7.5","7.5"
"7","50","false","12","{breed attack-profiles}","1","7.5","7.5"
"7","50","false","13","{breed attack-profiles}","2","0","7.5"
