"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"smaller-netowork-1"
"06/10/2015 14:39:00:137 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","[breed] of user","[turns] of user","[turn-payoff] of user","[score] of user"
"4","50","false","31","{breed random-profiles}","15","0","-6"
"4","50","false","32","{breed attack-profiles}","8","7","39"
"4","50","false","33","{breed random-profiles}","16","-1","-7"
"4","50","false","34","{breed attack-profiles}","9","1","40"
"4","50","false","35","{breed attack-profiles}","10","0","40"
"4","50","false","36","{breed random-profiles}","17","0","-7"
"4","50","false","37","{breed attack-profiles}","11","0","40"
"4","50","false","38","{breed random-profiles}","18","0","-7"
"4","50","false","39","{breed attack-profiles}","4","14","44"
"4","50","false","40","{breed random-profiles}","19","-1","-8"
"4","50","false","41","{breed random-profiles}","8","-5","-8"
"4","50","false","42","{breed random-profiles}","20","0","-8"
"4","50","false","43","{breed random-profiles}","9","-3","-11"
"4","50","false","44","{breed attack-profiles}","5","8","52"
"4","50","false","45","{breed attack-profiles}","12","8","48"
"4","50","false","46","{breed random-profiles}","10","1","-10"
"4","50","false","47","{breed random-profiles}","11","1","-9"
"4","50","false","48","{breed random-profiles}","12","-1","-10"
"4","50","false","49","{breed random-profiles}","21","-2","-10"
"4","50","false","50","{breed attack-profiles}","13","7","55"
"5","50","false","0","{breed random-profiles}","1","1","1"
"5","50","false","1","{breed attack-profiles}","1","0","0"
"5","50","false","2","{breed random-profiles}","2","3","4"
"5","50","false","3","{breed attack-profiles}","2","0","0"
"5","50","false","4","{breed attack-profiles}","3","0","0"
"5","50","false","5","{breed random-profiles}","3","-1","3"
"5","50","false","6","{breed random-profiles}","4","1","4"
"5","50","false","7","{breed random-profiles}","5","-1","3"
"5","50","false","8","{breed random-profiles}","6","-1","2"
"5","50","false","9","{breed attack-profiles}","1","9","9"
"5","50","false","10","{breed random-profiles}","7","3","5"
"5","50","false","11","{breed random-profiles}","1","-1","-1"
"5","50","false","12","{breed attack-profiles}","4","13","13"
"5","50","false","13","{breed random-profiles}","2","3","2"
"5","50","false","14","{breed attack-profiles}","5","1","14"
"5","50","false","15","{breed attack-profiles}","6","0","14"
"5","50","false","16","{breed random-profiles}","3","-1","1"
"5","50","false","17","{breed attack-profiles}","7","3","17"
"5","50","false","18","{breed random-profiles}","4","3","4"
"5","50","false","19","{breed random-profiles}","5","-1","3"
"5","50","false","20","{breed random-profiles}","6","1","4"
"5","50","false","21","{breed attack-profiles}","2","12","21"
