"BehaviorSpace results (NetLogo 5.1.0)"
"Simulator.nlogo"
"smaller-netowork-1"
"06/10/2015 15:15:18:527 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","the-random-seed","random-seed?","[step]","[breed] of user","[turns] of user","[turn-payoff] of user","[score] of user","length [children] of user"
"5","50","false","15","{breed random-profiles}","4","1","-6","1"
"5","50","false","16","{breed attack-profiles}","2","13","22","3"
"5","50","false","17","{breed attack-profiles}","3","0","22","3"
"5","50","false","18","{breed random-profiles}","6","-1","-2","1"
"5","50","false","19","{breed attack-profiles}","7","6","23","4"
"5","50","false","20","{breed random-profiles}","5","1","-5","1"
"5","50","false","21","{breed random-profiles}","6","-1","-6","1"
"5","50","false","22","{breed attack-profiles}","8","3","26","5"
"5","50","false","23","{breed attack-profiles}","4","6","28","4"
"5","50","false","24","{breed random-profiles}","7","-1","-3","1"
"5","50","false","25","{breed random-profiles}","8","-1","-4","1"
"5","50","false","26","{breed attack-profiles}","9","4","30","6"
"5","50","false","27","{breed random-profiles}","9","-5","-9","1"
"5","50","false","28","{breed attack-profiles}","5","9","37","5"
"5","50","false","29","{breed attack-profiles}","10","3","33","7"
"5","50","false","30","{breed random-profiles}","10","-1","-10","1"
"5","50","false","31","{breed attack-profiles}","6","3","40","5"
"5","50","false","32","{breed attack-profiles}","11","3","36","7"
"5","50","false","33","{breed attack-profiles}","12","0","36","7"
"5","50","false","34","{breed random-profiles}","11","-1","-11","1"
"5","50","false","35","{breed attack-profiles}","7","3","43","5"
"5","50","false","36","{breed attack-profiles}","8","0","43","5"
"5","50","false","37","{breed random-profiles}","7","1","-5","1"
"5","50","false","38","{breed attack-profiles}","9","2","45","5"
"5","50","false","39","{breed random-profiles}","12","1","-10","1"
"5","50","false","40","{breed random-profiles}","8","1","-4","1"
"5","50","false","41","{breed attack-profiles}","13","7","43","8"
"5","50","false","42","{breed attack-profiles}","10","2","47","6"
"5","50","false","43","{breed attack-profiles}","11","0","47","6"
"5","50","false","44","{breed random-profiles}","13","-2","-12","1"
"5","50","false","45","{breed attack-profiles}","14","2","45","8"
"5","50","false","46","{breed attack-profiles}","12","2","49","6"
"5","50","false","47","{breed random-profiles}","9","-3","-7","1"
"5","50","false","48","{breed random-profiles}","10","-3","-10","1"
"5","50","false","49","{breed random-profiles}","11","-1","-11","1"
"5","50","false","50","{breed random-profiles}","12","-1","-12","1"
"6","50","false","0","{breed attack-profiles}","1","0","0","1"
"6","50","false","1","{breed random-profiles}","1","1","1","1"
"6","50","false","2","{breed attack-profiles}","2","2","2","1"
"6","50","false","3","{breed random-profiles}","1","1","1","1"
"6","50","false","4","{breed attack-profiles}","1","2","2","2"
"6","50","false","5","{breed random-profiles}","2","1","2","1"
"6","50","false","6","{breed attack-profiles}","2","2","4","2"
"6","50","false","7","{breed random-profiles}","2","1","2","1"
"6","50","false","8","{breed random-profiles}","3","1","3","1"
"6","50","false","9","{breed attack-profiles}","3","2","6","3"
"6","50","false","10","{breed attack-profiles}","4","0","6","3"
"6","50","false","11","{breed attack-profiles}","3","6","8","2"
"6","50","false","12","{breed attack-profiles}","5","0","6","3"
"6","50","false","13","{breed attack-profiles}","4","0","8","2"
"6","50","false","14","{breed attack-profiles}","6","0","6","3"
"6","50","false","15","{breed random-profiles}","3","-1","1","1"
"6","50","false","16","{breed attack-profiles}","5","3","11","2"
"6","50","false","17","{breed attack-profiles}","7","3","9","3"
"6","50","false","18","{breed random-profiles}","4","-1","2","1"
"6","50","false","19","{breed attack-profiles}","6","3","14","2"
"6","50","false","20","{breed attack-profiles}","8","3","12","3"
"6","50","false","21","{breed attack-profiles}","7","0","14","2"
"6","50","false","22","{breed random-profiles}","5","-1","1","1"
"6","50","false","23","{breed random-profiles}","4","1","2","1"
"6","50","false","24","{breed random-profiles}","6","3","4","1"
"6","50","false","25","{breed random-profiles}","5","-3","-1","1"
